Latitude,Longtitude,State,LGA,Population,Number of households,Number of households offgrid,Number of people owning mobile phones,Number of households owning radios,Number of ABC1 consumers,Median annual household spending per capita,"Number of households spending over 110,000 N annually per capita","Number of households spending over 5,000 N monthly on energy","Number of households spending over 10,000 N monthly on energy","Number of households spending over 250,000 N annually on discretionary expenses",Number of households with generators,Number of households with televisions,Proportion of households offgrid,Proportion of people owning mobile phones,Proportion of households owning radios,Proportion of ABC1 consumers,"Proportion of households spending over 110,000 N annually per capita","Proportion of households spending over 5,000 N monthly on energy","Proportion of households spending over 10,000 N monthly on energy","Proportion of households spending over 250,000 N annually on discretionary expenses",Proportion of households with generators,Proportion of households with televisions
6.404166666,2.770833334,Lagos,Badagry,  166 ,  38 ,  13 ,  158 ,  24 ,  47 ,"  106,833 ",  25 ,  18 ,  2 ,  22 ,  25 ,  29 ,34%,95%,63%,28%,66%,49%,4%,58%,67%,76%
6.412499999,2.8125,Lagos,Badagry,  39 ,  9 ,  2 ,  37 ,  5 ,  11 ,"  123,660 ",  6 ,  3 ,  0 ,  5 ,  5 ,  5 ,27%,94%,62%,28%,63%,38%,3%,58%,57%,58%
6.412499999,2.770833334,Lagos,Badagry,  247 ,  56 ,  13 ,  238 ,  35 ,  72 ,"  123,875 ",  37 ,  24 ,  7 ,  33 ,  35 ,  38 ,24%,96%,62%,29%,66%,44%,13%,58%,62%,68%
6.404166666,2.845833334,Lagos,Badagry,  308 ,  70 ,  16 ,  290 ,  44 ,  98 ,"  111,679 ",  43 ,  34 ,  3 ,  42 ,  49 ,  52 ,22%,94%,63%,32%,62%,49%,5%,60%,71%,74%
6.412499999,2.954166667,Lagos,Badagry,  416 ,  94 ,  18 ,  377 ,  61 ,  143 ,"  166,825 ",  57 ,  49 ,  4 ,  66 ,  64 ,  69 ,19%,91%,64%,34%,61%,52%,4%,70%,68%,73%
6.420833333,2.779166667,Lagos,Badagry,  416 ,  94 ,  13 ,  403 ,  59 ,  113 ,"  149,051 ",  65 ,  42 ,  10 ,  60 ,  67 ,  73 ,13%,97%,62%,27%,69%,45%,11%,64%,71%,77%
6.412499999,2.9625,Lagos,Badagry,"  1,599 ",  361 ,  60 ,"  1,443 ",  233 ,  555 ,"  165,326 ",  221 ,  183 ,  8 ,  261 ,  251 ,  258 ,17%,90%,65%,35%,61%,51%,2%,72%,69%,71%
6.429166666,2.7125,Lagos,Badagry,  166 ,  37 ,  5 ,  160 ,  26 ,  54 ,"  147,567 ",  24 ,  17 ,  1 ,  25 ,  27 ,  25 ,13%,96%,68%,33%,65%,46%,2%,67%,73%,67%
6.462499999,2.870833334,Lagos,Badagry,  167 ,  38 ,  15 ,  148 ,  21 ,  45 ,"  113,669 ",  27 ,  17 ,  2 ,  23 ,  25 ,  22 ,41%,89%,55%,27%,71%,46%,5%,60%,66%,59%
6.445833333,2.8625,Lagos,Badagry,  853 ,  193 ,  31 ,  804 ,  114 ,  258 ,"  131,209 ",  124 ,  91 ,  20 ,  130 ,  133 ,  133 ,16%,94%,59%,30%,65%,48%,10%,67%,69%,69%
