Date,Price,Open,High,Low,Vol.,Change %
09/23/2015,"4,207.27","4,207.27","4,207.27","4,207.27",,-0.11%
09/22/2015,"4,212.11","4,212.11","4,212.11","4,212.11",,-0.71%
09/21/2015,"4,242.26","4,242.26","4,242.26","4,242.26",,0.14%
09/18/2015,"4,236.26","4,236.26","4,236.26","4,236.26",,-0.30%
09/17/2015,"4,248.95","4,248.95","4,248.95","4,248.95",,-0.20%
09/16/2015,"4,257.27","4,257.27","4,257.27","4,257.27",,0.16%
09/15/2015,"4,250.60","4,250.60","4,250.60","4,250.60",,0.38%
09/14/2015,"4,234.66","4,234.66","4,234.66","4,234.66",,0.59%
09/11/2015,"4,210.02","4,210.02","4,210.02","4,210.02",,-0.18%
09/10/2015,"4,217.78","4,217.78","4,217.78","4,217.78",,-0.05%
09/09/2015,"4,219.89","4,219.89","4,219.89","4,219.89",,0.07%
09/08/2015,"4,216.83","4,216.83","4,216.83","4,216.83",,0.53%
09/07/2015,"4,194.73","4,194.73","4,194.73","4,194.73",,1.46%
09/04/2015,"4,134.41","4,134.41","4,134.41","4,134.41",,-0.46%
09/03/2015,"4,153.31","4,153.31","4,153.31","4,153.31",,0.64%
09/02/2015,"4,127.08","4,127.08","4,127.08","4,127.08",,-0.63%
09/01/2015,"4,153.21","4,153.21","4,153.21","4,153.21",,-0.56%
08/31/2015,"4,176.59","4,176.59","4,176.59","4,176.59",,1.83%
08/28/2015,"4,101.67","4,101.67","4,101.67","4,101.67",,0.51%
08/27/2015,"4,080.83","4,080.83","4,080.83","4,080.83",,-2.17%
08/26/2015,"4,171.35","4,171.35","4,171.35","4,171.35",,-1.68%
08/25/2015,"4,242.73","4,242.73","4,242.73","4,242.73",,-2.18%
08/24/2015,"4,337.47","4,337.47","4,337.47","4,337.47",,-1.54%
08/21/2015,"4,405.29","4,405.29","4,405.29","4,405.29",,-0.55%
08/20/2015,"4,429.87","4,429.87","4,429.87","4,429.87",,-0.78%
08/19/2015,"4,464.74","4,464.74","4,464.74","4,464.74",,-0.39%
08/18/2015,"4,482.19","4,482.19","4,482.19","4,482.19",,-0.61%
08/17/2015,"4,509.84","4,509.84","4,509.84","4,509.84",,0.30%
08/14/2015,"4,496.23","4,496.23","4,496.23","4,496.23",,0.02%
08/13/2015,"4,495.52","4,495.52","4,495.52","4,495.52",,-0.08%
08/12/2015,"4,499.06","4,499.06","4,499.06","4,499.06",,-0.46%
08/11/2015,"4,519.63","4,519.63","4,519.63","4,519.63",,0.80%
08/10/2015,"4,483.58","4,483.58","4,483.58","4,483.58",,1.55%
08/07/2015,"4,415.09","4,415.09","4,415.09","4,415.09",,1.48%
08/06/2015,"4,350.70","4,350.70","4,350.70","4,350.70",,0.78%
08/05/2015,"4,317.23","4,317.23","4,317.23","4,317.23",,-0.60%
08/04/2015,"4,343.16","4,343.16","4,343.16","4,343.16",,-0.27%
08/03/2015,"4,354.99","4,354.99","4,354.99","4,354.99",,-1.13%
07/31/2015,"4,404.72","4,404.72","4,404.72","4,404.72",,-1.84%
07/30/2015,"4,487.38","4,487.38","4,487.38","4,487.38",,-0.99%
07/29/2015,"4,532.28","4,532.28","4,532.28","4,532.28",,1.04%
07/28/2015,"4,485.71","4,485.71","4,485.71","4,485.71",,0.41%
07/27/2015,"4,467.36","4,467.36","4,467.36","4,467.36",,-0.73%
07/24/2015,"4,500.43","4,500.43","4,500.43","4,500.43",,-0.86%
07/23/2015,"4,539.47","4,539.47","4,539.47","4,539.47",,-0.86%
07/22/2015,"4,578.62","4,578.62","4,578.62","4,578.62",,-0.58%
07/21/2015,"4,605.25","4,605.25","4,605.25","4,605.25",,-0.49%
07/20/2015,"4,627.90","4,627.90","4,627.90","4,627.90",,-0.23%
07/17/2015,"4,638.44","4,638.44","4,638.44","4,638.44",,-0.81%
07/16/2015,"4,676.16","4,676.16","4,676.16","4,676.16",,-0.30%
07/15/2015,"4,690.16","4,690.16","4,690.16","4,690.16",,-0.04%
07/14/2015,"4,692.17","4,692.17","4,692.17","4,692.17",,-0.67%
07/13/2015,"4,723.76","4,723.76","4,723.76","4,723.76",,-0.08%
07/10/2015,"4,727.46","4,727.46","4,727.46","4,727.46",,-0.57%
07/09/2015,"4,754.66","4,754.66","4,754.66","4,754.66",,-0.17%
07/08/2015,"4,762.87","4,762.87","4,762.87","4,762.87",,-1.08%
07/07/2015,"4,815.00","4,815.00","4,815.00","4,815.00",,0.02%
07/06/2015,"4,814.11","4,814.11","4,814.11","4,814.11",,0.03%
07/03/2015,"4,812.57","4,812.57","4,812.57","4,812.57",,-0.56%
07/02/2015,"4,839.60","4,839.60","4,839.60","4,839.60",,-0.39%
07/01/2015,"4,858.42","4,858.42","4,858.42","4,858.42",,-0.97%
06/30/2015,"4,906.07","4,906.07","4,906.07","4,906.07",,1.42%
06/29/2015,"4,837.58","4,837.58","4,837.58","4,837.58",,0.57%
06/26/2015,"4,810.36","4,810.36","4,810.36","4,810.36",,0.24%
06/25/2015,"4,798.73","4,798.73","4,798.73","4,798.73",,0.10%
06/24/2015,"4,793.77","4,793.77","4,793.77","4,793.77",,0.36%
06/23/2015,"4,776.35","4,776.35","4,776.35","4,776.35",,-0.09%
06/22/2015,"4,780.48","4,780.48","4,780.48","4,780.48",,0.04%
06/19/2015,"4,778.63","4,778.63","4,778.63","4,778.63",,-0.37%
06/18/2015,"4,796.26","4,796.26","4,796.26","4,796.26",,0.12%
06/17/2015,"4,790.42","4,790.42","4,790.42","4,790.42",,0.36%
06/16/2015,"4,773.23","4,773.23","4,773.23","4,773.23",,0.29%
06/15/2015,"4,759.58","4,759.58","4,759.58","4,759.58",,-0.11%
06/12/2015,"4,765.02","4,765.02","4,765.02","4,765.02",,0.42%
06/11/2015,"4,744.95","4,744.95","4,744.95","4,744.95",,0.01%
06/10/2015,"4,744.66","4,744.66","4,744.66","4,744.66",,-0.02%
06/09/2015,"4,745.42","4,745.42","4,745.42","4,745.42",,-0.34%
06/08/2015,"4,761.44","4,761.44","4,761.44","4,761.44",,-0.47%
06/05/2015,"4,784.07","4,784.07","4,784.07","4,784.07",,0.22%
06/04/2015,"4,773.79","4,773.79","4,773.79","4,773.79",,-0.35%
06/03/2015,"4,790.50","4,790.50","4,790.50","4,790.50",,-0.54%
06/02/2015,"4,816.66","4,816.66","4,816.66","4,816.66",,0.63%
05/29/2015,"4,786.74","4,786.74","4,786.74","4,786.74",,-0.40%
05/28/2015,"4,805.89","4,805.89","4,805.89","4,805.89",,-0.62%
05/27/2015,"4,835.75","4,835.75","4,835.75","4,835.75",,-0.36%
05/26/2015,"4,853.44","4,853.44","4,853.44","4,853.44",,-0.11%
05/25/2015,"4,858.61","4,858.61","4,858.61","4,858.61",,-0.44%
05/22/2015,"4,879.95","4,879.95","4,879.95","4,879.95",,-0.99%
05/21/2015,"4,928.91","4,928.91","4,928.91","4,928.91",,0.09%
05/20/2015,"4,924.45","4,924.45","4,924.45","4,924.45",,-0.35%
05/19/2015,"4,941.71","4,941.71","4,941.71","4,941.71",,0.19%
05/18/2015,"4,932.32","4,932.32","4,932.32","4,932.32",,-0.97%
05/15/2015,"4,980.71","4,980.71","4,980.71","4,980.71",,0.02%
05/14/2015,"4,979.71","4,979.71","4,979.71","4,979.71",,-0.02%
05/13/2015,"4,980.48","4,980.48","4,980.48","4,980.48",,-0.65%
05/12/2015,"5,012.94","5,012.94","5,012.94","5,012.94",,-0.59%
05/11/2015,"5,042.52","5,042.52","5,042.52","5,042.52",,-0.56%
05/08/2015,"5,070.75","5,070.75","5,070.75","5,070.75",,-0.08%
05/07/2015,"5,074.76","5,074.76","5,074.76","5,074.76",,-0.18%
05/06/2015,"5,083.94","5,083.94","5,083.94","5,083.94",,-0.32%
05/05/2015,"5,100.51","5,100.51","5,100.51","5,100.51",,0.30%
05/04/2015,"5,085.40","5,085.40","5,085.40","5,085.40",,-0.12%
04/30/2015,"5,091.43","5,091.43","5,091.43","5,091.43",,0.60%
04/29/2015,"5,061.11","5,061.11","5,061.11","5,061.11",,0.12%
04/28/2015,"5,055.00","5,055.00","5,055.00","5,055.00",,-0.03%
04/27/2015,"5,056.27","5,056.27","5,056.27","5,056.27",,-0.10%
04/24/2015,"5,061.09","5,061.09","5,061.09","5,061.09",,0.68%
04/23/2015,"5,026.79","5,026.79","5,026.79","5,026.79",,-0.32%
04/22/2015,"5,042.85","5,042.85","5,042.85","5,042.85",,-0.61%
04/21/2015,"5,073.86","5,073.86","5,073.86","5,073.86",,-0.55%
04/20/2015,"5,102.04","5,102.04","5,102.04","5,102.04",,0.18%
04/17/2015,"5,093.00","5,093.00","5,093.00","5,093.00",,0.28%
04/16/2015,"5,078.74","5,078.74","5,078.74","5,078.74",,-0.92%
04/15/2015,"5,126.02","5,126.02","5,126.02","5,126.02",,-0.04%
04/14/2015,"5,128.02","5,128.02","5,128.02","5,128.02",,-0.16%
